Neuron class	Class member	Lineage	Neurotransmitter identity	"Reporter transgene expressed in this cell (based on manually curated Wormbase dataset as of July 15th, 2016)"																																																																																																																																												
	AIZR	AB.prapaaapav	Glu	cam-1	cnb-1	coel-1	eat-4	flp-22	gpa-3	gtr-1	inx-19	kal-1	kin-29	lin-11	madd-4	mod-1	ntc-1	odr-2	pkc-1	ser-2	tax-6	unc-86	npr-2	acc-2																																																																																																																								
ALA	ALA	AB.alapppaaa	GABA	ceh-10	ceh-14	ceh-17	deg-3	des-2	flp-13	flp-24	flp-7	gly-18	gpa-14	hlh-29	ida-1	let-23	lev-8	mab-9	plc-3	snf-11	sra-10	tba-2	tmc-1	unc-103	unc-53	vav-1	ver-3																																																																																																																					
ALM	ALML	AB.arppaappa	Glu	acp-2	acr-23	aex-6	alr-1	anoh-2	ari-1	C03A3.3	C49G9.1	cam-1	cct-2	cct-4	ceh-13	ceh-14	ceh-20	coel-1	crml-1	ddl-2	deg-3	degt-1	dgn-1	dop-1	dsh-1	dyn-1	eat-4	egl-2	elp-1	elpc-1	exc-9	F57H12.7	fbl-1	flp-20	gab-1	glr-8	goa-1	hlh-14	inx-7	kqt-1	kqt-3	kvs-4	lgc-12	lgc-37	lgc-55	mab-21	max-2	mec-10	mec-17	mec-18	mec-2	mec-3	mec-4	mec-6	mec-7	mec-8	mfb-1	mig-10	mig-2	mir-241	mir-84	mps-1	mtd-1	ncs-7	nid-1	nipi-3	nlp-7	pag-3	pat-2	pat-4	pat-6	pdfr-1	pkc-1	poml-1	ptl-1	rhgf-2	rig-6	riok-1	rpm-1	sam-10	sax-7	str-33	T07D1.3	tag-97	tba-1	tiam-1	tol-1	txdc-9	tyra-2	unc-32	unc-36	unc-62	unc-86	unc-9	unc-97	Y113G7A.15 	zyg-8																																															
	ALMR	AB.arpppappa	Glu	acp-2	acr-23	aex-6	alr-1	anoh-2	ari-1	C03A3.3	C49G9.1	cam-1	cct-2	cct-4	ceh-13	ceh-14	ceh-20	coel-1	crml-1	ddl-2	deg-3	degt-1	dgn-1	dop-1	dsh-1	dyn-1	eat-4	egl-2	elp-1	elpc-1	exc-9	F57H12.7	fbl-1	flp-20	gab-1	glr-8	goa-1	hlh-14	inx-7	kqt-1	kqt-3	kvs-4	lgc-12	lgc-37	lgc-55	mab-21	max-2	mec-10	mec-17	mec-18	mec-2	mec-3	mec-4	mec-6	mec-7	mec-8	mfb-1	mig-10	mig-2	mir-241	mir-84	mps-1	mtd-1	ncs-7	nid-1	nipi-3	nlp-7	pag-3	pat-2	pat-4	pat-6	pdfr-1	pkc-1	poml-1	ptl-1	rhgf-2	rig-6	riok-1	rpm-1	sam-10	sax-7	str-33	T07D1.3	tag-97	tba-1	tiam-1	tol-1	txdc-9	tyra-2	unc-32	unc-36	unc-62	unc-86	unc-9	unc-97	Y113G7A.15 	zyg-8																																															
ALN	ALNL	AB.plapappppap	ACh	acc-4	ahr-1	ast-1	C15C8.4	cam-1	che-7	cho-1	dgn-1	dop-1	eat-20	egl-2	egl-36	gcy-35	gpa-10	inx-3	inx-7	lad-2	lgc-55	mec-1	mec-7	mpz-1	odr-2	pxf-1	ser-2	syg-2	tol-1	unc-103	unc-17	unc-32	unc-36	unc-47	unc-53	unc-86	poml-1																																																																																																											
	ALNR	AB.prapappppap	ACh	acc-4	ahr-1	ast-1	C15C8.4	cam-1	che-7	cho-1	dgn-1	dop-1	eat-20	egl-2	egl-36	gcy-35	gpa-10	inx-3	inx-7	lad-2	lgc-55	mec-1	mec-7	mpz-1	odr-2	pxf-1	ser-2	syg-2	tol-1	unc-103	unc-17	unc-32	unc-36	unc-47	unc-53	unc-86	poml-1																																																																																																											
AQR	AQR	QR.ap	Glu	ahr-1	ani-1	bbs-1	bbs-2	bbs-8	che-2	che-3	cor-1	dkf-2	dyf-11	dyf-2	eat-4	egl-13	egl-2	F49H12.4 	gcy-25	gcy-32	gcy-33	gcy-34	gcy-35	gcy-36	gcy-37	glb-5	gpa-8	lin-32	mig-13	ncx-5	nlp-37	npr-1	npr-1	osm-12	osm-6	pdl-1	snf-3	tax-2	tmc-1	toe-2																																																																																																								
AS	AS1	P1.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS2	P2.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
	AS3	P3.apa	ACh	acc-4	unc-3	unc-55	unc-17	cho-1	unc-8	unc-53	mab-9	madd-4	max-1	tsp-7	hmr-1	ace-2	acr-14	acr-15	nlp-14	unc-63	tig-2	nlp-21	unc-5	coq-8																																																																																																																								
